categ_id_xml,param_key,param_name,unit_override,sequence,required,active,show_in_form,allow_import
category_raw_material,liner_material,Liner Material,,220,0,1,1,1
category_raw_material,shelf_life,Shelf Life,,220,0,1,1,1
category_raw_material,peel_180_headliner_immediate,180 Peel Headliner Immediate,N/cm,220,0,1,1,1
category_raw_material,peel_180_headliner_initial,180 Peel Headliner Initial,N/cm,220,0,1,1,1
category_raw_material,peel_180_headliner_normal,180 Peel Headliner Normal,N/cm,220,0,1,1,1
category_raw_material,peel_180_headliner_high_temp,180 Peel Headliner High Temp,N/cm,220,0,1,1,1
category_raw_material,peel_180_headliner_heat_aging,180 Peel Headliner Heat Aging,N/cm,220,0,1,1,1
category_raw_material,peel_180_headliner_humidity_aging,180 Peel Headliner Humidity Aging,N/cm,220,0,1,1,1
category_raw_material,peel_180_painted_panel_initial,180 Peel Painted Panel Initial,N/cm,220,0,1,1,1
category_raw_material,peel_180_painted_panel_normal,180 Peel Painted Panel Normal,N/cm,220,0,1,1,1
category_raw_material,peel_180_pp_initial,180 Peel PP Initial,N/cm,220,0,1,1,1
category_raw_material,peel_180_pp_normal,180 Peel PP Normal,N/cm,220,0,1,1,1
category_tape,sus_adhesive,对SUS粘性,N/cm,10,0,1,1,1
category_foam,density,密度,kg/m3,10,1,1,1,1
category_foam,hardness,硬度,Shore C,20,0,1,1,1
category_foam,compression_set,压缩永久变形,%,30,0,1,1,1
category_foam,rebound_rate,回弹率,%,40,0,1,1,1
category_foam,temperature_range,耐温范围,℃,50,0,1,1,1
category_foam,adhesive_backing,背胶类型,false,60,0,1,1,1
category_tape_pet_single,total_thickness,总厚度,μm,10,1,1,1,1
category_tape_pet_single,substrate_thickness,基材厚度,μm,20,0,1,1,1
category_tape_pet_single,adhesive_system,胶系,false,30,0,1,1,1
category_tape_pet_single,peel_strength_180,剥离力,N/25mm,40,0,1,1,1
category_tape_pet_single,temperature_grade,耐温等级,℃,50,0,1,1,1
category_tape_pet_single,peel_strength,剥离力,false,1000,0,1,1,1
category_tape_pet_single,structure,结构描述,false,1001,0,1,1,1
category_release_film,base_film_type,基膜类型,false,10,1,1,1,1
category_release_film,total_thickness,总厚度,μm,20,0,1,1,1
category_release_film,release_force,离型力,gf/in,30,0,1,1,1
category_release_film,surface_treatment,表面处理,false,40,0,1,1,1
category_release_film,color_tone,颜色,false,50,0,1,1,1
category_tape_pet_double,total_thickness,总厚度,μm,10,1,1,1,1
category_tape_pet_double,short_term_heat_resistance,短期耐温,,10,0,1,1,1
category_tape_pet_double,long_term_heat_resistance,长期耐温,,10,0,1,1,1
category_tape_pet_double,solvent_resistance_level,耐溶剂性等级,,10,0,1,1,1
category_tape_pet_double,adhesion_hse_level,高表面能粘接等级,,10,0,1,1,1
category_tape_pet_double,adhesion_lse_level,低表面能粘接等级,,10,0,1,1,1
category_tape_pet_double,liner_description,离型材料,,10,0,1,1,1
category_tape_pet_double,carrier_thickness,载体厚度,μm,20,0,1,1,1
category_tape_pet_double,adhesive_system,胶系,false,30,0,1,1,1
category_tape_pet_double,initial_tack,初粘力,false,40,0,1,1,1
category_tape_pet_double,holding_power,持粘力,h,50,0,1,1,1
category_tape_pet_double,peel_strength,剥离力,false,1000,0,1,1,1
category_tape_pet_double,structure,结构描述,false,1001,0,1,1,1
category_protection_film,base_material_type,基材类型,false,10,1,1,1,1
category_protection_film,total_thickness,总厚度,μm,20,0,1,1,1
category_protection_film,adhesion_force,粘着力,gf/25mm,30,0,1,1,1
category_protection_film,temperature_grade,耐温等级,℃,40,0,1,1,1
category_protection_film,application_surface,适用表面,false,50,0,1,1,1
category_protection_film,peel_strength,剥离力,false,1000,0,1,1,1
category_protection_film,structure,结构描述,false,1001,0,1,1,1
category_tape_no_substrate,short_term_heat_resistance,短期耐温,,10,0,1,1,1
category_tape_no_substrate,long_term_heat_resistance,长期耐温,,10,0,1,1,1
category_tape_no_substrate,solvent_resistance_level,耐溶剂性等级,,10,0,1,1,1
category_tape_no_substrate,adhesion_hse_level,高表面能粘接等级,,10,0,1,1,1
category_tape_no_substrate,adhesion_lse_level,低表面能粘接等级,,10,0,1,1,1
category_tape_no_substrate,liner_description,离型材料,,10,0,1,1,1
category_tape_no_substrate,peel_strength,剥离力,false,1000,0,1,1,1
category_tape_no_substrate,structure,结构描述,false,1001,0,1,1,1
category_tape_tissue,short_term_heat_resistance,短期耐温,,10,0,1,1,1
category_tape_tissue,long_term_heat_resistance,长期耐温,,10,0,1,1,1
category_tape_tissue,solvent_resistance_level,耐溶剂性等级,,10,0,1,1,1
category_tape_tissue,adhesion_hse_level,高表面能粘接等级,,10,0,1,1,1
category_tape_tissue,adhesion_lse_level,低表面能粘接等级,,10,0,1,1,1
