brand_id_xml,categ_id_xml,name,code,series_text,catalog_status,active,sequence,equivalent_type,feature_desc,special_applications,typical_applications,variant_adhesive_std,variant_adhesive_thickness,variant_adhesive_type,variant_base_material,variant_base_material_std,variant_color,variant_color_std,variant_datasheet_filename,variant_dupont,variant_fire_rating,variant_holding_power,variant_is_halogen_free,variant_is_reach,variant_is_rohs,variant_msds_filename,variant_pe_peel,variant_peel_strength,variant_push_force,variant_ref_price,variant_removability,variant_structure,variant_sus_peel,variant_tds_filename,variant_thickness,variant_thickness_std,variant_tumbler
brand_3m,category_tape_foam,3M VHB Tape Max-060GF,B5005577010,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005577010/,0.6mm,0.6mm,
brand_3m,category_tape_foam,3M VHB Tape LSE-060,B5005405028,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005405028/,,,
brand_3m,category_tape_foam,3M VHB Tape GPL-060GF,B5005387006,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005387006/,,,
brand_3m,category_tape_foam,3M VHB Tape LSE-110WF,B5005036160,3M VHB,published,1,10,,,,,,,,,,gray,gray,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005036160/,1150mm,1150mm,
brand_3m,category_tape_foam,3M VHB Tape 5925,B40072038,3M VHB,published,1,10,,,,,,,,,,black,black,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40072038/,,,
brand_3m,category_tape_foam,3M VHB Tape 4646,B40065659,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40065659/,,,
brand_3m,category_tape_foam,3M VHB Tape 4914,B40065767,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40065767/,,,
brand_3m,category_tape_foam,3M VHB Tape Max-110GF,B5005577011,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005577011/,1.1mm,1.1mm,
brand_3m,category_tape_foam,3M VHB Tape RP+060GF,B5005359003,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005359003/,,,
brand_3m,category_tape_foam,3M VHB Tape GP Extrudable Tape,B5005341007,3M VHB,published,1,10,,,,,,,,,,black,black,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005341007/,8.5mm,8.5mm,
brand_3m,category_tape_foam,3M VHB Tape GPL-080GF,B5005387007,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005387007/,,,
brand_3m,category_tape_foam,3M VHB Tape RP+080GF,B5005359004,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005359004/,,,
brand_3m,category_tape_foam,3M VHB Tape GPL-040GF,B5005387005,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005387005/,,,
