brand_id_xml,brand_name,categ_id_xml,item_code,param_key,param_name,value,unit,condition_summary,test_method,test_condition,remark,sequence
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS611,peel_strength,剥离力,适用于冲压型、铭板、薄膜开关的粘贴，耐温120℃,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS611,structure,结构描述,3M9075、德莎60975,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS611PN,structure,结构描述,用于曲面,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS612,peel_strength,剥离力,适用于冲压型、铭板、薄膜开关的粘贴，耐温120℃,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS612,structure,结构描述,3M9448、SONY T4000、日东5015,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS612PN,peel_strength,剥离力,用于曲面,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS612PN,structure,结构描述,积水5760,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS613,peel_strength,剥离力,、日东GA808,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS613,structure,结构描述,3M9080、日东500、 TESA60980,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS613PN,structure,结构描述,用于曲面,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS601,peel_strength,剥离力,适合各种泡棉材料的粘贴，它具有粘接性好，粘接力强的优点，并可耐温60℃～80℃。单、双面都粘泡绵。,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS601,structure,结构描述,我司创新产品,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS602 #11,peel_strength,剥离力,适合各种泡棉及软质材料，耐温一般。双面粘泡绵，单面粘钢板和ABS板，不耐温,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS602 #11,structure,结构描述,我司创新产品,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS603 #14,peel_strength,剥离力,适合各种泡棉材料的粘贴，单、双面都粘泡棉，它具有粘接性好，粘接力强的优点，并可耐温100℃。,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS603 #14,structure,结构描述,力王D500C,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS510,peel_strength,剥离力,适用于冲压型、铭板、薄膜开关的粘贴，耐温80℃,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS510,structure,结构描述,TESA60933、TESA60975,,,,,,1001
