brand_id_xml,categ_id_xml,name,code,series_text,catalog_status,active,sequence,equivalent_type,feature_desc,special_applications,typical_applications,variant_adhesive_std,variant_adhesive_thickness,variant_adhesive_type,variant_base_material,variant_base_material_std,variant_color,variant_color_std,variant_datasheet_filename,variant_dupont,variant_fire_rating,variant_holding_power,variant_is_halogen_free,variant_is_reach,variant_is_rohs,variant_msds_filename,variant_pe_peel,variant_peel_strength,variant_push_force,variant_ref_price,variant_removability,variant_structure,variant_sus_peel,variant_tds_filename,variant_thickness,variant_thickness_std,variant_tumbler
brand_tesa,category_tape_foam,tesa 4980,4980,498xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET,PET,透明,透明,,,none,,TRUE,TRUE,TRUE,,,8.6 N/cm,,,,,,,0.08mm,80μm,
brand_tesa,category_tape_foam,tesa? 496xx 胶带 4961,4961,496xx,published,1,10,,,,,天然橡胶,,天然橡胶,平板纸,平板纸,白色,白色,,,none,,,,,,,5.2 N/cm,,,,,,,205 μm,205μm,
brand_tesa,category_tape_foam,tesa? 496xx 胶带 4963,4963,496xx,published,1,10,,,,,天然橡胶,,天然橡胶,PVC（聚氯乙烯）薄膜,PVC（聚氯乙烯）薄膜,透明,透明,,,none,,,,,,,5.9 N/cm,,,,,,,107 μm,107μm,
brand_tesa,category_tape_foam,tesa? 496xx 胶带 4965,4965,496xx,published,1,10,,,,,天然橡胶,,天然橡胶,平板纸,平板纸,黑色,黑色,,,none,,,,,,,,,,,,,,,,
brand_tesa,category_tape_foam,tesa? 498xx 胶带 4982,4982,498xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）薄膜,PET（聚酯）薄膜,透明,透明,,,none,,,,,,,11 N/cm,,,,,,,100 μm,100μm,
brand_tesa,category_tape_foam,tesa? 519xx 胶带 51928,51928,519xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）薄膜,PET（聚酯）薄膜,黑色,黑色,,,none,,,,,,,9.6 N/cm,,,,,,,125 μm,125μm,
brand_tesa,category_tape_foam,tesa? 519xx 胶带 51966,51966,519xx,published,1,10,,,,,丙烯酸,,丙烯酸,PET（聚酯）薄膜 生物基(生物碳),PET（聚酯）薄膜 生物基(生物碳),透明,透明,,,none,,,,,,,10.5 N/cm,,,,,,,200 μm,200μm,
brand_tesa,category_tape_foam,tesa? 519xx 胶带 51970,51970,519xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PP（聚丙烯）薄膜,PP（聚丙烯）薄膜,透明,透明,,,none,,,,,,,13 N/cm,,,,,,,220 μm,220μm,
brand_tesa,category_tape_foam,tesa? 519xx 胶带 51977,51977,519xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PP（聚丙烯）薄膜,PP（聚丙烯）薄膜,白色,白色,,,none,,,,,,,12.6 N/cm,,,,,,,240 μm,240μm,
brand_tesa,category_tape_foam,tesa? 519xx 胶带 51980,51980,519xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）薄膜,PET（聚酯）薄膜,黑色,黑色,,,none,,,,,,,8.6 N/cm,,,,,,,80 μm,80μm,
brand_tesa,category_tape_foam,tesa? 522xx 胶带 52215,52215,522xx,published,1,10,,,,,水性丙烯酸,,水性丙烯酸,无纺布,无纺布,半透明,半透明,,,none,,,,,,,8 N/cm,,,,,,,150 μm,150μm,
brand_tesa,category_tape_foam,tesa? 583xx 胶带 58323,58323,583xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,无纺布,无纺布,半透明,半透明,,,none,,,,,,,8 N/cm,,,,,,,75 μm,75μm,
brand_tesa,category_tape_foam,tesa? 583xx 胶带 58332,58332,583xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）,PET（聚酯）,透明,透明,,,none,,,,,,,4.7 N/cm,,,,,,,50 μm,50μm,
brand_tesa,category_tape_foam,tesa? 583xx 胶带 58334,58334,583xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）,PET（聚酯）,透明,透明,,,none,,,,,,,7 N/cm,,,,,,,100 μm,100μm,
brand_tesa,category_tape_foam,tesa? 583xx 胶带 58360,58360,583xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）,PET（聚酯）,透明,透明,,,none,,,,,,,7.3 N/cm,,,,,,,50 μm,50μm,
brand_tesa,category_tape_foam,tesa? 583xx 胶带 58364,58364,583xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）,PET（聚酯）,透明,透明,,,none,,,,,,,7.6 N/cm,,,,,,,200 μm,200μm,
brand_tesa,category_tape_foam,tesa? 583xx 胶带 58372,58372,583xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）薄膜,PET（聚酯）薄膜,半透明,半透明,,,none,,,,,,,7.1 N/cm,,,,,,,50 μm,50μm,
brand_tesa,category_tape_foam,tesa? 583xx 胶带 58374,58374,583xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）,PET（聚酯）,透明,透明,,,none,,,,,,,8.2 N/cm,,,,,,,100 μm,100μm,
brand_tesa,category_tape_foam,tesa? 583xx 胶带 58375,58375,583xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET无纺布,PET无纺布,半透明,半透明,,,none,,,,,,,8.9 N/cm,,,,,,,130μm,130μm,
brand_tesa,category_tape_foam,tesa? 609xx 胶带 60975,60975,609xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,无纺布,无纺布,半透明,半透明,,,none,,,,,,,7 N/cm,,,,,,,100 μm,100μm,
brand_tesa,category_tape_foam,tesa? 609xx 胶带 60977,60977,609xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,无纺布,无纺布,半透明,半透明,,,none,,,,,,,9.6 N/cm,,,,,,,140μm,140μm,
brand_tesa,category_tape_foam,tesa? 609xx 胶带 60978,60978,609xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,无纺布,无纺布,半透明,半透明,,,none,,,,,,,7.9 N/cm,,,,,,,160μm,160μm,
brand_tesa,category_tape_foam,tesa? 609xx 胶带 60980,60980,609xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,无纺布,无纺布,半透明,半透明,,,none,,,,,,,9.8 N/cm,,,,,,,140 μm,140μm,
brand_tesa,category_tape_foam,tesa? 610xx 胶带 61055,61055,610xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,丙烯酸泡棉,丙烯酸泡棉,黑色,黑色,,,none,,,,,,,17.5 N/cm,,,,,,,300 μm,300μm,
brand_tesa,category_tape_foam,tesa? 610xx 胶带 61086,61086,610xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,Acrylic foam,Acrylic foam,黑色,黑色,,,none,,,,,,,15.5 N/cm,,,,,,,300 μm,300μm,
brand_tesa,category_tape_foam,tesa? 610xx 胶带 61087,61087,610xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,Acrylic foam,Acrylic foam,黑色,黑色,,,none,,,,,,,16.1 N/cm,,,,,,,350 μm,350μm,
brand_tesa,category_tape_foam,tesa? 610xx 胶带 61088,61088,610xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,Acrylic foam,Acrylic foam,黑色,黑色,,,none,,,,,,,16.6 N/cm,,,,,,,400 μm,400μm,
brand_tesa,category_tape_foam,tesa? 612xx 胶带 61210,61210,612xx,published,1,10,,,,,特殊,,特殊,PET,PET,黑色,黑色,,,none,,,,,,,12.5 N/cm,,,,,,,100 μm,100μm,
brand_tesa,category_tape_foam,tesa? 612xx 胶带 61220,61220,612xx,published,1,10,,,,,特殊,,特殊,PET,PET,黑色,黑色,,,none,,,,,,,16.6 N/cm,,,,,,,200 μm,200μm,
brand_tesa,category_tape_foam,tesa? 613xx 胶带 61325,61325,613xx,published,1,10,,,,,改性丙烯酸,,改性丙烯酸,PET（聚酯）薄膜,PET（聚酯）薄膜,黑色,黑色,,,none,,,,,,,16.4 N/cm,,,,,,,250 μm,250μm,
