param_key,name,spec_category,canonical_name_zh,canonical_name_en,aliases_text,value_type,description,unit,preferred_unit,common_units,selection_options,is_main_field,main_field_name,parse_hint,target_bucket,target_field,scope_hint,section_hints,extraction_priority,llm_enabled,is_note_field,is_method_field,is_numeric_preferred,allow_series_fallback,confidence_rule,sequence,active
base_material_type,基材类型,,基材类型,,,selection,false,false,,,PE PET PP PVC,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
thermal_conductivity_xy,面内导热系数,,面内导热系数,,,float,false,W/mK,W/mK,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
base_film_type,基膜类型,,基膜类型,,,selection,false,false,,,PET PE PP 复合膜,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
cloth_base_type,布基类型,,布基类型,,,selection,false,false,,,聚酯纤维 尼龙纤维 混纺纤维,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
paper_base_type,纸基类型,,纸基类型,,,selection,false,false,,,青壳纸 红钢纸 快巴纸 Nomex 复合绝缘纸,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
sus_adhesive,对SUS粘性,,对SUS粘性,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_painted_immediate,涂装板-即时状态-180度剥离力,,涂装板-即时状态-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
thickness,thickness,尺寸厚度,thickness,,,char,,,,,,1,thickness,,spec_values,,item,,50,1,0,0,0,0,,10,1
color,color,基础规格,color,,,char,,,,,,1,color_id,,spec_values,,item,,50,1,0,0,0,0,,10,1
adhesive_type,adhesive_type,基础规格,adhesive_type,,,char,,,,,,1,adhesive_type_id,,spec_values,,item,,50,1,0,0,0,0,,10,1
base_material,base_material,基础规格,base_material,,,char,,,,,,1,base_material_id,,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_painted_initial,涂装板-初始状态-180度剥离力,,涂装板-初始状态-180度剥离力,180 Peel Adhesion to Painted Panel - Initial State,,float,,,N/cm,,,0,,Painted panel initial state 180 peel adhesion,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_painted_humidity_aging,涂装板-湿热老化后-180度剥离力,,涂装板-湿热老化后-180度剥离力,180 Peel Adhesion to Painted Panel - Humidity Aging,,float,,,N/cm,,,0,,Painted panel humidity aging 180 peel adhesion,spec_values,,item,,50,1,0,0,0,0,,10,1
elongation_at_break,elongation_at_break,,elongation_at_break,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
tensile_strength,tensile_strength,,tensile_strength,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
static_shear_23c,static_shear_23c,,static_shear_23c,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
short_term_temperature_resistance,short_term_temperature_resistance,,short_term_temperature_resistance,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
long_term_temperature_resistance,long_term_temperature_resistance,,long_term_temperature_resistance,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
adhesion_to_substrate_test,adhesion_to_substrate_test,,adhesion_to_substrate_test,,,char,ABS表面粘接强度（初始） 7.6 N/cm ... 钢表面粘接强度（14天后） 11.7 N/cm,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
static_shear_test,static_shear_test,,static_shear_test,,,char,23°C静态抗剪切力 非常好 •40°C静态抗剪切力 非常好,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
typical_values_notice,typical_values_notice,,typical_values_notice,,,char,这里的数据仅应被视为参考值和典型值，不应被视为技术规范.,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
unknown,静态抗剪切力测试,,静态抗剪切力测试,,,char,23°C静态抗剪切力 好；40°C静态抗剪切力 普通ABS/铝/PC/PE/PET/PP/PS/PVC/钢表面粘接强度（初始/14天后）,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
180_peel_adhesion_non_liner_side,180_peel_adhesion_non_liner_side,,180_peel_adhesion_non_liner_side,,,char,"180° Peel Adhesion Non-Liner Side Adhesive to Headliner, Painted Panel and Polypropylene (PP) Substrate",,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
construction_diagram,construction_diagram,,construction_diagram,,,char,Paper liner / Acrylic pressure sensitive adhesive / Non-woven cloth / Acrylic pressure sensitive adhesive,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
static_performance_claim,static_performance_claim,,static_performance_claim,,,char,Excellent initial adhesion and static performance on uneven substrates,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
static_shear,static_shear,,static_shear,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
plasticizer_resistance,plasticizer_resistance,,plasticizer_resistance,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_abs_unknown,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_abs_14,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_unknown_unknown,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_unknown_14,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pc_unknown,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pc_14,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pe_unknown,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pe_14,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pet_unknown,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pet_14,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pp_unknown,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pp_14,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_ps_unknown,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_ps_14,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pvc_unknown,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_180_pvc_14,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,auto expanded from condition-aware performance fact,spec_values,,item,,50,1,0,0,0,0,,10,1
static_shear_evaluation,static_shear_evaluation,,static_shear_evaluation,,,char,40°C静态抗剪切力 非常好,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
adhesion_state_comparison,adhesion_state_comparison,,adhesion_state_comparison,,,char,表面粘接强度（初始）...（14天后）,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
condition_definitions,Condition Definitions,,Condition Definitions,,,char,Conditions/Test Parameter Definitions: ...,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
180_peel_adhesion_test,180_peel_adhesion_test,,180_peel_adhesion_test,,,char,180° Peel Adhesion to Painted Panel Tape Size: 25 mm width; Tape backing: 25 um PET film; Rolling Pressure: 5 kg roller one-way; Peel Speed: 50 mm/min.,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
shear_strength_test,shear_strength_test,,shear_strength_test,,,char,Shear Strength Tape Size: 25 mm x 25 mm; Rolling Pressure: 5 kg roller one-way; Tensile Speed: 50 mm/min. Test measures liner side adhesion to painted panel and non-liner side adhesion to PVC panel.,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
180_peel_adhesion_to_painted_panel,180 Peel Adhesion to Painted Panel,,180 Peel Adhesion to Painted Panel,,,char,180° Peel Adhesion to Painted Panel Tape Size: 25 mm width; Tape backing: 25 um PET film; Rolling Pressure: 5 kg roller one-way; Peel Speed: 50 mm/min.,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
shear_strength,Shear Strength,,Shear Strength,,,char,Shear Strength Tape Size: 25 mm x 25 mm; Rolling Pressure: 5 kg roller one-way; Tensile Speed: 50 mm/min. Test measures liner side adhesion to painted panel and non-liner side adhesion to PVC panel.,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
immediate_state,Immediate State,,Immediate State,,,char,"Immediate State = 23°C, 20 minutes",,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
normal_state,Normal State,,Normal State,,,char,"Normal State = 23°C, 24 hours",,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
high_temperature,High Temperature,,High Temperature,,,char,"High Temperature = 23°C, 24 hours -> 80°C",,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
heat_aging,Heat-aging,,Heat-aging,,,char,"Heat-aging = 23°C, 24 hours -> 80°C, 336 hours -> 23°C, 24 hours",,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
warm_water_immersion,Warm Water Immersion,,Warm Water Immersion,,,char,"Warm Water Immersion = 23°C, 24 hours -> 40°C water, 336 hours -> 23°C, 24 hours",,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
gasoline_immersion,Gasoline Immersion,,Gasoline Immersion,,,char,"Gasoline Immersion = 23°C, 24 hours -> Gasoline, 1 hour -> 23°C, 24 hours",,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
wax_remover_immersion,Wax-remover immersion,,Wax-remover immersion,,,char,"Wax-remover immersion = 23°C, 24 hours -> Wax-remover, 1 hour -> 23°C, 24 hours",,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
180_peel_adhesion_test_setup,180 peel adhesion test setup,,180 peel adhesion test setup,,,char,Tape Size: 25 mm width; Tape backing: 25 um PET film; Rolling Pressure: 5 kg roller one-way; Peel Speed: 50 mm/min.,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
shear_strength_test_setup,shear strength test setup,,shear strength test setup,,,char,Tape Size: 25 mm x 25 mm; Rolling Pressure: 5 kg roller one-way; Tensile Speed: 50 mm/min. Test measures liner side adhesion to painted panel and non-liner side adhesion to PVC panel.,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
painted_panel_definition,painted_panel_definition,,painted_panel_definition,,,char,"Painted panel: White colored painted panel with advanced paint, used on a vehicle",,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
pvc_panel_definition,pvc_panel_definition,,pvc_panel_definition,,,char,PVC panel: 3M Adhesion Promoter N-210NT is applied on the PVC panel,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
uv_aging_resistance,uv_aging_resistance,,uv_aging_resistance,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
temperature_resistance_short_term,temperature_resistance_short_term,,temperature_resistance_short_term,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
temperature_resistance_long_term,temperature_resistance_long_term,,temperature_resistance_long_term,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
peel_adhesion,peel_adhesion,,peel_adhesion,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
liner_option_pv20,liner_option_pv20,,liner_option_pv20,,,char,,,,,,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
short_term_heat_resistance,短期耐温,,短期耐温,,,float,false,false,°C,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
