run_at,source_document_id,mode,model,series_count,items_count,params_count,category_params_count,spec_values_count,unmatched_count,unmatched_written,cache_flags,timings_ms,warnings
2026-03-16T07:45:30,54,single_pass_fast,openai-codex/gpt-5.4,1,4,10,1,6,4,4,"{""extract_hit"": 0, ""vision_hit"": 0, ""draft_hit"": 1, ""vision_from_existing"": 0, ""vision_source"": ""none""}","{""extract"": 0, ""postprocess"": 0}",[]
2026-03-16T08:09:10,54,single_pass_fast,openai-codex/gpt-5.4,1,4,10,1,6,0,0,"{""extract_hit"": 0, ""vision_hit"": 0, ""draft_hit"": 0, ""vision_from_existing"": 0, ""vision_source"": ""none""}","{""extract"": 0, ""single_pass"": 34701, ""postprocess"": 0}",[]
2026-03-16T08:20:07,55,single_pass_fast,openai-codex/gpt-5.4,1,4,6,1,8,0,0,"{""extract_hit"": 0, ""vision_hit"": 0, ""draft_hit"": 0, ""vision_from_existing"": 0, ""vision_source"": ""none""}","{""extract"": 0, ""single_pass"": 33968, ""postprocess"": 0}",[]
2026-03-16T08:26:27,56,single_pass_fast,openai-codex/gpt-5.4,0,12,6,1,72,9,9,"{""extract_hit"": 0, ""vision_hit"": 0, ""draft_hit"": 0, ""vision_from_existing"": 0, ""vision_source"": ""none""}","{""extract"": 0, ""single_pass"": 108406, ""postprocess"": 0}",[]
2026-03-16T09:08:13,58,legacy_dual_pass+fallback_from_cognitive,openai-codex/gpt-5.4,0,12,7,1,122,4,4,"{""extract_hit"": 0, ""vision_hit"": 1, ""draft_hit"": 1, ""vision_from_existing"": 0, ""vision_source"": ""local_cache"", ""understanding_hit"": 1, ""understanding_source"": ""local_cache""}","{""extract"": 0, ""map_to_buckets"": 23, ""single_pass"": 120167, ""legacy_fallback"": 120224, ""postprocess"": 0}","[""quality_gate_failed={\""schema_valid_rate\"": 0.0, \""required_buckets_presence\"": 1.0, \""pipeline_fail_rate\"": 0.0, \""latency_increase\"": 0.0, \""passed\"": false}""]"
2026-03-16T09:35:04,58,legacy_dual_pass+fallback_from_cognitive,openai-codex/gpt-5.4,0,12,7,1,122,4,4,"{""extract_hit"": 0, ""vision_hit"": 1, ""draft_hit"": 1, ""vision_from_existing"": 0, ""vision_source"": ""local_cache"", ""understanding_hit"": 1, ""understanding_source"": ""local_cache""}","{""extract"": 0, ""map_to_buckets"": 19, ""single_pass"": 120162, ""legacy_fallback"": 120206, ""postprocess"": 0}","[""quality_gate_failed={\""schema_valid_rate\"": 0.0, \""required_buckets_presence\"": 1.0, \""pipeline_fail_rate\"": 0.0, \""latency_increase\"": 0.0, \""passed\"": false}""]"
2026-03-16T09:40:11,58,cognitive_v2,openai-codex/gpt-5.4,1,12,15,1,5,0,0,"{""extract_hit"": 0, ""vision_hit"": 0, ""draft_hit"": 0, ""vision_from_existing"": 0, ""vision_source"": ""none"", ""understanding_hit"": 1, ""understanding_source"": ""local_cache""}","{""extract"": 0, ""map_to_buckets"": 0, ""postprocess"": 0}",[]
2026-03-16T09:54:00,56,cognitive_v2,openai-codex/gpt-5.4,0,12,16,1,7,11,11,"{""extract_hit"": 0, ""vision_hit"": 0, ""draft_hit"": 0, ""vision_from_existing"": 0, ""vision_source"": ""none"", ""understanding_hit"": 0, ""understanding_source"": ""model_call""}","{""extract"": 0, ""understand"": 182145, ""map_to_buckets"": 0, ""postprocess"": 0}",[]
2026-03-16T09:56:55,57,cognitive_v2,openai-codex/gpt-5.4,1,12,8,1,6,0,0,"{""extract_hit"": 0, ""vision_hit"": 0, ""draft_hit"": 0, ""vision_from_existing"": 0, ""vision_source"": ""none"", ""understanding_hit"": 1, ""understanding_source"": ""local_cache""}","{""extract"": 0, ""map_to_buckets"": 0, ""postprocess"": 0}",[]
2026-03-16T09:57:03,57,cognitive_v2,openai-codex/gpt-5.4,1,12,8,1,6,0,0,"{""extract_hit"": 0, ""vision_hit"": 0, ""draft_hit"": 0, ""vision_from_existing"": 0, ""vision_source"": ""none"", ""understanding_hit"": 1, ""understanding_source"": ""local_cache""}","{""extract"": 0, ""map_to_buckets"": 0, ""postprocess"": 0}",[]
