brand_id_xml,categ_id_xml,series_xml_id,name,series_name,catalog_base_material,catalog_adhesive_type,catalog_characteristics,catalog_features,catalog_applications
brand_tesa,category_tape_foam,catalog_tesa_471x,tesa® 471x 胶带,471x,PU,特殊,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_473x,tesa® 473x 胶带,473x,-,特殊结构,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_491xx,tesa® 491xx 胶带,491xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_492xx,tesa® 492xx 胶带,492xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_494xx,tesa® 494xx 胶带,494xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_496xx,tesa® 496xx 胶带,496xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_497xx,tesa® 497xx 胶带,497xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_498xx,tesa® 498xx 胶带,498xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_519xx,tesa® 519xx 胶带,519xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_580xx,tesa® 580xx 胶带,580xx,,PSA,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_581xx,tesa® 581xx 胶带,581xx,,PSA,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_602xx,tesa® 602xx 胶带,602xx,软泡棉,导电丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_603xx,tesa® 603xx 胶带,603xx,丙烯酸,导电丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_605xx,tesa® 605xx 胶带,605xx,丙烯酸,导电丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_606xx,tesa® 606xx 胶带,606xx,超软泡棉,导电丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_607xx,tesa® 607xx 胶带,607xx,-,,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_612xx,tesa® 612xx 胶带,612xx,PET,特殊,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_613xx,tesa® 613xx 胶带,613xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_615xx,tesa® 615xx 胶带,615xx,PET,硅胶/丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_618xx,tesa® 618xx 胶带,618xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_6262x,tesa® 6262x 胶带,6262x,PE泡棉,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_628xx,tesa® 628xx 胶带,628xx,PE泡棉,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_648xx,tesa® 648xx 胶带,648xx,,合成橡胶,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_663xx,tesa® 663xx 胶带,663xx,PI,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_666xx,tesa® 666xx 胶带,666xx,PE泡棉,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_668xx,tesa® 668xx 胶带,668xx,PE泡棉,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_669xx,tesa® 669xx 胶带,669xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_672xx,tesa® 672xx 胶带,672xx,,合成橡胶,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_673xx,tesa® 673xx 胶带,673xx,PI,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_688xx,tesa® 688xx 胶带,688xx,PET,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_689xx,tesa® 689xx 胶带,689xx,PET,特殊,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_694xx,tesa® 694xx 胶带,694xx,,PSA,,来源: 德莎电子行业胶带应用解决方案(01/2023),
