series_xml_id,default_code,variant_thickness,variant_color,variant_adhesive_type,variant_base_material,variant_peel_strength,variant_adhesive_std,variant_base_material_std,variant_color_std,variant_fire_rating,variant_holding_power,variant_pe_peel,variant_sus_peel,variant_thickness_std
catalog_tesa_471x,4710,100um,白色半透明,特殊,PU,,特殊,PU,白色半透明,none,,,,100um
catalog_tesa_471x,4718,80um,白色半透明,特殊,PU,,特殊,PU,白色半透明,none,,,,80um
catalog_tesa_473x,4738,80um,白色半透明,特殊结构,-,,特殊结构,-,白色半透明,none,,,,80um
catalog_tesa_491xx,4912,5um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,5um
catalog_tesa_492xx,4926,200um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,200um
catalog_tesa_492xx,4928,125um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,125um
catalog_tesa_494xx,4942,140um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,140um
catalog_tesa_496xx,4965,200um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,200um
catalog_tesa_496xx,4967,160um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,160um
catalog_tesa_497xx,4972,50um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,50um
catalog_tesa_498xx,4980,80um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,80um
catalog_tesa_498xx,4982,100um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,100um
catalog_tesa_498xx,4983,30um,透明,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,透明,none,,,,30um
catalog_tesa_519xx,51926,200um,黑色,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,黑色,none,,,,200um
catalog_tesa_519xx,51928,125um,黑色,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,黑色,none,,,,125um
catalog_tesa_519xx,51965,200um,黑色,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,黑色,none,,,,200um
catalog_tesa_519xx,51967,160um,黑色,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,黑色,none,,,,160um
catalog_tesa_519xx,51972,50um,黑色,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,黑色,none,,,,50um
catalog_tesa_519xx,51980,80um,黑色,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,黑色,none,,,,80um
catalog_tesa_519xx,51982,100um,黑色,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,黑色,none,,,,100um
catalog_tesa_519xx,51983,30um,黑色,改性丙烯酸,PET,11.0/11.7 N/cm,改性丙烯酸,PET,黑色,none,,,,30um
catalog_tesa_580xx,5806,150um,透明,PSA,,,PSA,,透明,none,,,,150um
catalog_tesa_580xx,5808,200um,透明,PSA,,,PSA,,透明,none,,,,200um
catalog_tesa_581xx,5810,250um,透明,PSA,,,PSA,,透明,none,,,,250um
catalog_tesa_581xx,5812,300um,透明,PSA,,,PSA,,透明,none,,,,300um
catalog_tesa_602xx,60213,200um,灰色,导电丙烯酸,软泡棉,4.8/8.3 N/cm,导电丙烯酸,软泡棉,灰色,none,,,,200um
catalog_tesa_602xx,60214,300um,灰色,导电丙烯酸,软泡棉,4.8/8.3 N/cm,导电丙烯酸,软泡棉,灰色,none,,,,300um
catalog_tesa_602xx,60217,1500um,灰色,导电丙烯酸,软泡棉,4.8/8.3 N/cm,导电丙烯酸,软泡棉,灰色,none,,,,1500um
catalog_tesa_602xx,60218,2000um,灰色,导电丙烯酸,软泡棉,4.8/8.3 N/cm,导电丙烯酸,软泡棉,灰色,none,,,,2000um
catalog_tesa_602xx,60231,25um,哑光黑色,导电丙烯酸,-,,导电丙烯酸,-,哑光黑色,none,,,,25um
catalog_tesa_602xx,60232,35um,哑光黑色,导电丙烯酸,-,,导电丙烯酸,-,哑光黑色,none,,,,35um
catalog_tesa_602xx,60234,55um,哑光黑色,导电丙烯酸,-,,导电丙烯酸,-,哑光黑色,none,,,,55um
catalog_tesa_602xx,60238,45um,哑光黑色,导电丙烯酸,-,,导电丙烯酸,-,哑光黑色,none,,,,45um
catalog_tesa_602xx,60246,300um,灰色,导电丙烯酸,缓冲泡棉,4.8/6.3 N/cm,导电丙烯酸,缓冲泡棉,灰色,none,,,,300um
