series_xml_id,default_code,variant_thickness,variant_color,variant_adhesive_type,variant_base_material,variant_peel_strength,variant_adhesive_std,variant_base_material_std,variant_color_std,variant_fire_rating,variant_holding_power,variant_pe_peel,variant_sus_peel,variant_thickness_std
catalog_tesa_496xx,4961,205 µm,白色,天然橡胶,平板纸,5.2 N/cm,天然橡胶,平板纸,白色,none,,,,205 µm
catalog_tesa_496xx,4963,107 µm,透明,天然橡胶,PVC（聚氯乙烯）薄膜,5.9 N/cm,天然橡胶,PVC（聚氯乙烯）薄膜,透明,none,,,,107 µm
catalog_tesa_496xx,4965,,黑色,,,,,,黑色,none,,,,
catalog_tesa_498xx,4980,80 µm,透明,改性丙烯酸,PET（聚酯）薄膜,8.6 N/cm,改性丙烯酸,PET（聚酯）薄膜,透明,none,,,,80 µm
catalog_tesa_498xx,4982,100 µm,透明,改性丙烯酸,PET（聚酯）薄膜,11 N/cm,改性丙烯酸,PET（聚酯）薄膜,透明,none,,,,100 µm
catalog_tesa_519xx,51928,125 µm,黑色,改性丙烯酸,PET（聚酯）薄膜,9.6 N/cm,改性丙烯酸,PET（聚酯）薄膜,黑色,none,,,,125 µm
catalog_tesa_519xx,51966,200 µm,透明,丙烯酸,PET（聚酯）薄膜 生物基(生物碳),10.5 N/cm,丙烯酸,PET（聚酯）薄膜 生物基(生物碳),透明,none,,,,200 µm
catalog_tesa_519xx,51970,220 µm,透明,改性丙烯酸,PP（聚丙烯）薄膜,13 N/cm,改性丙烯酸,PP（聚丙烯）薄膜,透明,none,,,,220 µm
catalog_tesa_519xx,51977,240 µm,白色,改性丙烯酸,PP（聚丙烯）薄膜,12.6 N/cm,改性丙烯酸,PP（聚丙烯）薄膜,白色,none,,,,240 µm
catalog_tesa_519xx,51980,80 µm,黑色,改性丙烯酸,PET（聚酯）薄膜,8.6 N/cm,改性丙烯酸,PET（聚酯）薄膜,黑色,none,,,,80 µm
catalog_tesa_522xx,52215,150 µm,半透明,水性丙烯酸,无纺布,8 N/cm,水性丙烯酸,无纺布,半透明,none,,,,150 µm
catalog_tesa_583xx,58323,75 µm,半透明,改性丙烯酸,无纺布,8 N/cm,改性丙烯酸,无纺布,半透明,none,,,,75 µm
catalog_tesa_583xx,58332,50 µm,透明,改性丙烯酸,PET（聚酯）,4.7 N/cm,改性丙烯酸,PET（聚酯）,透明,none,,,,50 µm
catalog_tesa_583xx,58334,100 µm,透明,改性丙烯酸,PET（聚酯）,7 N/cm,改性丙烯酸,PET（聚酯）,透明,none,,,,100 µm
catalog_tesa_583xx,58360,50 µm,透明,改性丙烯酸,PET（聚酯）,7.3 N/cm,改性丙烯酸,PET（聚酯）,透明,none,,,,50 µm
catalog_tesa_583xx,58364,200 µm,透明,改性丙烯酸,PET（聚酯）,7.6 N/cm,改性丙烯酸,PET（聚酯）,透明,none,,,,200 µm
catalog_tesa_583xx,58372,50 µm,半透明,改性丙烯酸,PET（聚酯）薄膜,7.1 N/cm,改性丙烯酸,PET（聚酯）薄膜,半透明,none,,,,50 µm
catalog_tesa_583xx,58374,100 µm,透明,改性丙烯酸,PET（聚酯）,8.2 N/cm,改性丙烯酸,PET（聚酯）,透明,none,,,,100 µm
catalog_tesa_583xx,58375,130µm,半透明,,PET无纺布,8.9 N/cm,,PET无纺布,半透明,none,,,,130µm
catalog_tesa_609xx,60975,100 µm,半透明,改性丙烯酸,无纺布,7 N/cm,改性丙烯酸,无纺布,半透明,none,,,,100 µm
catalog_tesa_609xx,60977,140μm,半透明,改性丙烯酸,无纺布,9.6 N/cm,改性丙烯酸,无纺布,半透明,none,,,,140μm
catalog_tesa_609xx,60978,160μm,半透明,改性丙烯酸,无纺布,7.9 N/cm,改性丙烯酸,无纺布,半透明,none,,,,160μm
catalog_tesa_609xx,60980,140 µm,半透明,改性丙烯酸,无纺布,9.8 N/cm,改性丙烯酸,无纺布,半透明,none,,,,140 µm
catalog_tesa_610xx,61055,300 µm,黑色,改性丙烯酸,丙烯酸泡棉,17.5 N/cm,改性丙烯酸,丙烯酸泡棉,黑色,none,,,,300 µm
catalog_tesa_610xx,61086,300 µm,黑色,改性丙烯酸,Acrylic foam,15.5 N/cm,改性丙烯酸,Acrylic foam,黑色,none,,,,300 µm
catalog_tesa_610xx,61087,350 µm,黑色,改性丙烯酸,Acrylic foam,16.1 N/cm,改性丙烯酸,Acrylic foam,黑色,none,,,,350 µm
catalog_tesa_610xx,61088,400 µm,黑色,改性丙烯酸,Acrylic foam,16.6 N/cm,改性丙烯酸,Acrylic foam,黑色,none,,,,400 µm
catalog_tesa_612xx,61210,100 µm,黑色,特殊,PET,12.5 N/cm,特殊,PET,黑色,none,,,,100 µm
catalog_tesa_612xx,61220,200 µm,黑色,特殊,PET,16.6 N/cm,特殊,PET,黑色,none,,,,200 µm
catalog_tesa_613xx,61325,250 µm,黑色,改性丙烯酸,PET（聚酯）薄膜,16.4 N/cm,改性丙烯酸,PET（聚酯）薄膜,黑色,none,,,,250 µm
catalog_tesa_613xx,61335,200 µm,黑色,改性丙烯酸,PET（聚酯）薄膜,15.5 N/cm,改性丙烯酸,PET（聚酯）薄膜,黑色,none,,,,200 µm
catalog_tesa_613xx,61360,100 µm,透明,改性丙烯酸,PET（聚酯）薄膜,13.7 N/cm,改性丙烯酸,PET（聚酯）薄膜,透明,none,,,,100 µm
catalog_tesa_613xx,61365,100 µm,黑色,改性丙烯酸,PET（聚酯）薄膜,13.7 N/cm,改性丙烯酸,PET（聚酯）薄膜,黑色,none,,,,100 µm
catalog_tesa_613xx,61370,125 µm,透明,改性丙烯酸,PET（聚酯）薄膜,13.9 N/cm,改性丙烯酸,PET（聚酯）薄膜,透明,none,,,,125 µm
catalog_tesa_613xx,61385,150 µm,黑色,改性丙烯酸,PET（聚酯）薄膜,14.1 N/cm,改性丙烯酸,PET（聚酯）薄膜,黑色,none,,,,150 µm
catalog_tesa_613xx,61390,200 µm,透明,改性丙烯酸,PET（聚酯）薄膜,14.3 N/cm,改性丙烯酸,PET（聚酯）薄膜,透明,none,,,,200 µm
