row_number,material_label,reason
清水HK:3,KI-100M,缺少可折算面积的尺寸信息
清水HK:8,RFSG-070100,缺少可折算面积的尺寸信息
清水HK:18,NO.118M,材料種類为空，无法分类
清水HK:25,TMS-22-05,材料種類为空，无法分类
清水HK:26,TMS-22-10,材料種類为空，无法分类
清水HK:85,F42 PANEL BUTTON KEY,缺少可折算面积的尺寸信息
清水HK:216,MRX-930 NC BLACK,缺少可折算面积的尺寸信息
清水HK:217,BD3682,材料種類为空，无法分类
清水HK:218,BD3683,材料種類为空，无法分类
清水HK:219,H46_Gorilla_0.65t,缺少可折算面积的尺寸信息
清水工場:98,PET-双非分切费,缺少可折算面积的尺寸信息
清水工場:115,美纹胶,材料種類为空，无法分类
清水工場:116,美纹胶,材料種類为空，无法分类
清水工場:123,干燥剂,缺少可折算面积的尺寸信息
清水工場:124,拉伸膜,缺少可折算面积的尺寸信息
清水工場:126,干燥剂,缺少可折算面积的尺寸信息
清水工場:127,紙筒卡,缺少可折算面积的尺寸信息
清水工場:139,NF6490-18,缺少可折算面积的尺寸信息
清水工場:140,NF6508-14,缺少可折算面积的尺寸信息
清水工場:141,NF6509-11,缺少可折算面积的尺寸信息
清水工場:142,CB3-6962-000,缺少可折算面积的尺寸信息
清水工場:143,CB5-0524-000,缺少可折算面积的尺寸信息
清水工場:144,CD4-9043-000,缺少可折算面积的尺寸信息
清水工場:145,CD4-9044-000,缺少可折算面积的尺寸信息
清水工場:146,CD5-2887-000,缺少可折算面积的尺寸信息
清水工場:147,CD5-3631-000,缺少可折算面积的尺寸信息
清水工場:148,CD5-4320-000,缺少可折算面积的尺寸信息
清水工場:149,CD5-6344-000,缺少可折算面积的尺寸信息
清水工場:150,CD5-6626-000,缺少可折算面积的尺寸信息
清水工場:151,CD5-8506-000,缺少可折算面积的尺寸信息
清水工場:152,DB1-1257,缺少可折算面积的尺寸信息
清水工場:153,DB1-2095-000,缺少可折算面积的尺寸信息
清水工場:154,DB1-2278-000,缺少可折算面积的尺寸信息
清水工場:155,4PB4218-2831P002-OB,缺少可折算面积的尺寸信息
清水工場:156,4PB4156-7089P002,缺少可折算面积的尺寸信息
清水工場:157,4PB4156-7109P002,缺少可折算面积的尺寸信息
清水工場:158,4PB4218-2601P002,缺少可折算面积的尺寸信息
清水工場:159,302FB09830 01,缺少可折算面积的尺寸信息
清水工場:160,302FG22120 02,缺少可折算面积的尺寸信息
清水工場:161,302GR02060 04,缺少可折算面积的尺寸信息
清水工場:162,LU7122,缺少可折算面积的尺寸信息
清水工場:163,LS4466,缺少可折算面积的尺寸信息
清水工場:164,302HSJ108001,缺少可折算面积的尺寸信息
清水工場:165,9593.0,缺少可折算面积的尺寸信息
清水工場:166,YN3-0123吸塑盒/CD4-0743,缺少可折算面积的尺寸信息
清水工場:167,CB3-9841-000天地盖吸塑盒,缺少可折算面积的尺寸信息
清水工場:168,320*230*350MM,缺少可折算面积的尺寸信息
清水工場:169,320*320*230MM,缺少可折算面积的尺寸信息
清水工場:170,322*242*110MM,缺少可折算面积的尺寸信息
清水工場:171,380*275*150MM,缺少可折算面积的尺寸信息
清水工場:172,463*363*342MM,缺少可折算面积的尺寸信息
清水工場:173,493*482*120MM,缺少可折算面积的尺寸信息
清水工場:174,505*460*400MM,缺少可折算面积的尺寸信息
清水工場:175,520*330*200MM,缺少可折算面积的尺寸信息
清水工場:176,520*330*145MM,缺少可折算面积的尺寸信息
清水工場:177,552*442*120MM,缺少可折算面积的尺寸信息
清水工場:178,575*340*225MM,缺少可折算面积的尺寸信息
清水工場:179,600*442*120MM,缺少可折算面积的尺寸信息
清水工場:180,745*400*200MM,缺少可折算面积的尺寸信息
清水工場:181,250*180*70MM,缺少可折算面积的尺寸信息
清水工場:182,356*700MM,缺少可折算面积的尺寸信息
清水工場:183,481*470MM,缺少可折算面积的尺寸信息
清水工場:184,535*430MM,缺少可折算面积的尺寸信息
清水工場:185,315*315MM,缺少可折算面积的尺寸信息
清水工場:186,238*168MM,缺少可折算面积的尺寸信息
清水工場:187,225*315MM,缺少可折算面积的尺寸信息
清水工場:188,375*270MM,缺少可折算面积的尺寸信息
清水工場:189,380*310MM,缺少可折算面积的尺寸信息
清水工場:190,390*310MM,缺少可折算面积的尺寸信息
清水工場:191,458*358MM,缺少可折算面积的尺寸信息
清水工場:192,495*315MM,缺少可折算面积的尺寸信息
清水工場:193,500*445MM,缺少可折算面积的尺寸信息
清水工場:194,515*320MM,缺少可折算面积的尺寸信息
清水工場:195,560*325MM,缺少可折算面积的尺寸信息
清水工場:196,580*430MM,缺少可折算面积的尺寸信息
清水工場:197,320*110MM,缺少可折算面积的尺寸信息
清水工場:198,490*110MM,缺少可折算面积的尺寸信息
清水工場:199,470*85MM,缺少可折算面积的尺寸信息
清水工場:200,528*85MM,缺少可折算面积的尺寸信息
清水工場:201,575*85MM,缺少可折算面积的尺寸信息
清水工場:202,700*75MM,缺少可折算面积的尺寸信息
清水工場:203,356*75MM,缺少可折算面积的尺寸信息
清水工場:204,430*85MM,缺少可折算面积的尺寸信息
清水工場:205,481*85MM,缺少可折算面积的尺寸信息
清水工場:206,320*270*65MM,缺少可折算面积的尺寸信息
清水工場:207,315*235MM,缺少可折算面积的尺寸信息
清水工場:265,吸塑盒(一対),缺少可折算面积的尺寸信息
清水工場:266,72-8273,未找到可用采购价格
清水工場:267,DA3-4572-000,缺少可折算面积的尺寸信息
清水工場:268,MS02284,未找到可用采购价格
清水工場:269,3-223-464-01,缺少可折算面积的尺寸信息
清水工場:270,VS4952F1-④,未找到可用采购价格
清水工場:271,MN31341,缺少可折算面积的尺寸信息
清水工場:272,2C904550AB,未找到可用采购价格
清水工場:273,LA20936T-1,缺少可折算面积的尺寸信息
清水工場:274,LA20938T-1,缺少可折算面积的尺寸信息
清水工場:275,LA20986T-1,缺少可折算面积的尺寸信息
清水工場:276,DS-39880-01,缺少可折算面积的尺寸信息
清水工場:277,DS-39843-00,缺少可折算面积的尺寸信息
清水工場:278,D74 DEAR MIC LABEL,缺少可折算面积的尺寸信息
清水工場:279,E81 LABEL WATER PROTECT,缺少可折算面积的尺寸信息
清水工場:280,E81 SHEET BLIND LCD,缺少可折算面积的尺寸信息
清水工場:281,E67 LABEL WATER PROTECT,缺少可折算面积的尺寸信息
清水工場:282,F13 LABEL WATER PROTECT,缺少可折算面积的尺寸信息
清水工場:283,F41 LABEL FELICA,缺少可折算面积的尺寸信息
清水工場:284,873663-0802-1,未找到可用采购价格
清水工場:285,RC-12用元ゴムΦ75*Φ50*30Ｌ,未找到可用采购价格
清水工場:286,DB1-2084-000,缺少可折算面积的尺寸信息
清水工場:287,DB1-2097-000,缺少可折算面积的尺寸信息
清水工場:288,MU06511,缺少可折算面积的尺寸信息
清水工場:289,15F5LW33030,缺少可折算面积的尺寸信息
清水工場:290,15F5LW33032,缺少可折算面积的尺寸信息
清水工場:291,H59 LABEL UIM,缺少可折算面积的尺寸信息
